previous_state,count,sex,age_group,education,marital_status,previous_state_code,previous_fips
Montana,21409,Male,All,All,All,MT,30
Nebraska,25460,Female,All,All,All,NE,31
Nebraska,24644,Male,All,All,All,NE,31
Nevada,56800,Female,All,All,All,NV,32
Nevada,49878,Male,All,All,All,NV,32
New Hampshire,23887,Female,All,All,All,NH,33
New Hampshire,26519,Male,All,All,All,NH,33
New Jersey,105635,Female,All,All,All,NJ,34
New Jersey,114083,Male,All,All,All,NJ,34
New Mexico,30839,Female,All,All,All,NM,35
New Mexico,35369,Male,All,All,All,NM,35
New York,246100,Female,All,All,All,NY,36
New York,243441,Male,All,All,All,NY,36
North Carolina,113340,Female,All,All,All,NC,37
North Carolina,119797,Male,All,All,All,NC,37
North Dakota,10551,Female,All,All,All,ND,38
North Dakota,11850,Male,All,All,All,ND,38
Ohio,97218,Female,All,All,All,OH,39
Ohio,92526,Male,All,All,All,OH,39
Oklahoma,42624,Female,All,All,All,OK,40
Oklahoma,43157,Male,All,All,All,OK,40
Oregon,62665,Female,All,All,All,OR,41
Oregon,68222,Male,All,All,All,OR,41
Pennsylvania,133480,Female,All,All,All,PA,42
Pennsylvania,136185,Male,All,All,All,PA,42
Puerto Rico,22168,Female,All,All,All,PR,72
Puerto Rico,22807,Male,All,All,All,PR,72
Rhode Island,15301,Female,All,All,All,RI,44
Rhode Island,17932,Male,All,All,All,RI,44
South Carolina,66317,Female,All,All,All,SC,45
South Carolina,69029,Male,All,All,All,SC,45
South Dakota,12593,Female,All,All,All,SD,46
South Dakota,14425,Male,All,All,All,SD,46
Tennessee,91063,Female,All,All,All,TN,47
Tennessee,90335,Male,All,All,All,TN,47
Texas,224653,Female,All,All,All,TX,48
Texas,254301,Male,All,All,All,TX,48
Utah,47464,Female,All,All,All,UT,49
Utah,50021,Male,All,All,All,UT,49
Vermont,9881,Female,All,All,All,VT,50
Vermont,9406,Male,All,All,All,VT,50
Virginia,131782,Female,All,All,All,VA,51
Virginia,126335,Male,All,All,All,VA,51
Washington,107417,Female,All,All,All,WA,53
Washington,116518,Male,All,All,All,WA,53
West Virginia,20220,Female,All,All,All,WV,54
West Virginia,22419,Male,All,All,All,WV,54
Wisconsin,49136,Female,All,All,All,WI,55
Wisconsin,46742,Male,All,All,All,WI,55
Wyoming,11570,Female,All,All,All,WY,56
Wyoming,13350,Male,All,All,All,WY,56
Alabama,14198,All,0-17,All,All,AL,1
Alabama,25063,All,18-24,All,All,AL,1
Alabama,24557,All,25-34,All,All,AL,1
Alabama,13291,All,35-44,All,All,AL,1
Alabama,6527,All,45-54,All,All,AL,1
Alabama,7449,All,55-64,All,All,AL,1
Alabama,10785,All,65+,All,All,AL,1
Alaska,7166,All,0-17,All,All,AK,2
Alaska,6460,All,18-24,All,All,AK,2
Alaska,8830,All,25-34,All,All,AK,2
Alaska,5253,All,35-44,All,All,AK,2
Alaska,2922,All,45-54,All,All,AK,2
Alaska,1925,All,55-64,All,All,AK,2
Alaska,3650,All,65+,All,All,AK,2
Arizona,29934,All,0-17,All,All,AZ,4
Arizona,32712,All,18-24,All,All,AZ,4
Arizona,37641,All,25-34,All,All,AZ,4
Arizona,26830,All,35-44,All,All,AZ,4
Arizona,23247,All,45-54,All,All,AZ,4
Arizona,18510,All,55-64,All,All,AZ,4
Arizona,24883,All,65+,All,All,AZ,4
Arkansas,9318,All,0-17,All,All,AR,5
Arkansas,13284,All,18-24,All,All,AR,5
Arkansas,18356,All,25-34,All,All,AR,5
Arkansas,8195,All,35-44,All,All,AR,5
Arkansas,4744,All,45-54,All,All,AR,5
Arkansas,4247,All,55-64,All,All,AR,5
Arkansas,7067,All,65+,All,All,AR,5
California,101419,All,0-17,All,All,CA,6
California,138666,All,18-24,All,All,CA,6
California,158142,All,25-34,All,All,CA,6
California,100825,All,35-44,All,All,CA,6
California,58948,All,45-54,All,All,CA,6
California,58328,All,55-64,All,All,CA,6
California,66270,All,65+,All,All,CA,6
Colorado,34257,All,0-17,All,All,CO,8
Colorado,47382,All,18-24,All,All,CO,8
Colorado,48999,All,25-34,All,All,CO,8
Colorado,25788,All,35-44,All,All,CO,8
Colorado,15654,All,45-54,All,All,CO,8
Colorado,18325,All,55-64,All,All,CO,8
Colorado,18647,All,65+,All,All,CO,8
Connecticut,11361,All,0-17,All,All,CT,9
Connecticut,26778,All,18-24,All,All,CT,9
Connecticut,19643,All,25-34,All,All,CT,9
Connecticut,10975,All,35-44,All,All,CT,9
Connecticut,6129,All,45-54,All,All,CT,9
Connecticut,6192,All,55-64,All,All,CT,9
Connecticut,11765,All,65+,All,All,CT,9
Delaware,2527,All,0-17,All,All,DE,10
Delaware,7932,All,18-24,All,All,DE,10
Delaware,9755,All,25-34,All,All,DE,10
Delaware,2223,All,35-44,All,All,DE,10
Delaware,2061,All,45-54,All,All,DE,10
Delaware,2400,All,55-64,All,All,DE,10
Delaware,2639,All,65+,All,All,DE,10
District of Columbia,7077,All,0-17,All,All,DC,11
District of Columbia,10272,All,18-24,All,All,DC,11
District of Columbia,27582,All,25-34,All,All,DC,11
District of Columbia,10829,All,35-44,All,All,DC,11
District of Columbia,3656,All,45-54,All,All,DC,11
District of Columbia,2241,All,55-64,All,All,DC,11
District of Columbia,4377,All,65+,All,All,DC,11
Florida,74039,All,0-17,All,All,FL,12
Florida,81797,All,18-24,All,All,FL,12
Florida,116026,All,25-34,All,All,FL,12
Florida,65730,All,35-44,All,All,FL,12
Florida,46323,All,45-54,All,All,FL,12
Florida,47861,All,55-64,All,All,FL,12
Florida,71985,All,65+,All,All,FL,12
Georgia,48077,All,0-17,All,All,GA,13
Georgia,57671,All,18-24,All,All,GA,13
Georgia,60931,All,25-34,All,All,GA,13
Georgia,31893,All,35-44,All,All,GA,13
Georgia,17714,All,45-54,All,All,GA,13
Georgia,18740,All,55-64,All,All,GA,13
Georgia,15083,All,65+,All,All,GA,13
Hawaii,9899,All,0-17,All,All,HI,15
Hawaii,12700,All,18-24,All,All,HI,15
Hawaii,12670,All,25-34,All,All,HI,15
Hawaii,10181,All,35-44,All,All,HI,15
Hawaii,4202,All,45-54,All,All,HI,15
Hawaii,3912,All,55-64,All,All,HI,15
Hawaii,3065,All,65+,All,All,HI,15
Idaho,12025,All,0-17,All,All,ID,16
Idaho,13962,All,18-24,All,All,ID,16
Idaho,14260,All,25-34,All,All,ID,16
Idaho,9307,All,35-44,All,All,ID,16
Idaho,4776,All,45-54,All,All,ID,16
Idaho,3495,All,55-64,All,All,ID,16
Idaho,5402,All,65+,All,All,ID,16
Illinois,34936,All,0-17,All,All,IL,17
Illinois,89855,All,18-24,All,All,IL,17
Illinois,67174,All,25-34,All,All,IL,17
Illinois,32575,All,35-44,All,All,IL,17
Illinois,23975,All,45-54,All,All,IL,17
Illinois,23171,All,55-64,All,All,IL,17
Illinois,24164,All,65+,All,All,IL,17
Indiana,17668,All,0-17,All,All,IN,18
Indiana,27968,All,18-24,All,All,IN,18
Indiana,29831,All,25-34,All,All,IN,18
Indiana,13277,All,35-44,All,All,IN,18
Indiana,9722,All,45-54,All,All,IN,18
Indiana,9059,All,55-64,All,All,IN,18
Indiana,9043,All,65+,All,All,IN,18
Iowa,10187,All,0-17,All,All,IA,19
Iowa,21741,All,18-24,All,All,IA,19
Iowa,16177,All,25-34,All,All,IA,19
Iowa,6664,All,35-44,All,All,IA,19
Iowa,7562,All,45-54,All,All,IA,19
Iowa,5739,All,55-64,All,All,IA,19
Iowa,7350,All,65+,All,All,IA,19
Kansas,16931,All,0-17,All,All,KS,20
Kansas,19115,All,18-24,All,All,KS,20
Kansas,25937,All,25-34,All,All,KS,20
Kansas,12564,All,35-44,All,All,KS,20
Kansas,6751,All,45-54,All,All,KS,20
Kansas,5168,All,55-64,All,All,KS,20
Kansas,5438,All,65+,All,All,KS,20
Kentucky,13343,All,0-17,All,All,KY,21
Kentucky,28215,All,18-24,All,All,KY,21
Kentucky,23967,All,25-34,All,All,KY,21
Kentucky,11084,All,35-44,All,All,KY,21
Kentucky,6820,All,45-54,All,All,KY,21
Kentucky,6487,All,55-64,All,All,KY,21
Kentucky,7571,All,65+,All,All,KY,21
Louisiana,17523,All,0-17,All,All,LA,22
Louisiana,19744,All,18-24,All,All,LA,22
Louisiana,26513,All,25-34,All,All,LA,22
Louisiana,14793,All,35-44,All,All,LA,22
Louisiana,8476,All,45-54,All,All,LA,22
Louisiana,7289,All,55-64,All,All,LA,22
Louisiana,5520,All,65+,All,All,LA,22
Maine,2176,All,0-17,All,All,ME,23
Maine,9421,All,18-24,All,All,ME,23
Maine,5912,All,25-34,All,All,ME,23
Maine,4034,All,35-44,All,All,ME,23
Maine,1142,All,45-54,All,All,ME,23
Maine,2613,All,55-64,All,All,ME,23
Maine,2826,All,65+,All,All,ME,23
Maryland,28018,All,0-17,All,All,MD,24
Maryland,45788,All,18-24,All,All,MD,24
Maryland,51730,All,25-34,All,All,MD,24
Maryland,24437,All,35-44,All,All,MD,24
Maryland,15489,All,45-54,All,All,MD,24
Maryland,18665,All,55-64,All,All,MD,24
Maryland,15383,All,65+,All,All,MD,24
Massachusetts,17617,All,0-17,All,All,MA,25
Massachusetts,48064,All,18-24,All,All,MA,25
Massachusetts,60981,All,25-34,All,All,MA,25
Massachusetts,21014,All,35-44,All,All,MA,25
Massachusetts,10915,All,45-54,All,All,MA,25
Massachusetts,12619,All,55-64,All,All,MA,25
Massachusetts,13058,All,65+,All,All,MA,25
Michigan,21460,All,0-17,All,All,MI,26
Michigan,36725,All,18-24,All,All,MI,26
Michigan,37028,All,25-34,All,All,MI,26
Michigan,15146,All,35-44,All,All,MI,26
Michigan,11854,All,45-54,All,All,MI,26
Michigan,13790,All,55-64,All,All,MI,26
Michigan,19393,All,65+,All,All,MI,26
Minnesota,10466,All,0-17,All,All,MN,27
Minnesota,38993,All,18-24,All,All,MN,27
Minnesota,24679,All,25-34,All,All,MN,27
Minnesota,10683,All,35-44,All,All,MN,27
Minnesota,5989,All,45-54,All,All,MN,27
Minnesota,8910,All,55-64,All,All,MN,27
Minnesota,8687,All,65+,All,All,MN,27
Mississippi,8940,All,0-17,All,All,MS,28
Mississippi,14125,All,18-24,All,All,MS,28
Mississippi,14191,All,25-34,All,All,MS,28
Mississippi,6698,All,35-44,All,All,MS,28
Mississippi,3888,All,45-54,All,All,MS,28
Mississippi,4862,All,55-64,All,All,MS,28
Mississippi,3826,All,65+,All,All,MS,28
Missouri,28215,All,0-17,All,All,MO,29
Missouri,30361,All,18-24,All,All,MO,29
Missouri,38642,All,25-34,All,All,MO,29
Missouri,18810,All,35-44,All,All,MO,29
Missouri,12445,All,45-54,All,All,MO,29
Missouri,7154,All,55-64,All,All,MO,29
Missouri,9493,All,65+,All,All,MO,29
Montana,6895,All,0-17,All,All,MT,30
Montana,9292,All,18-24,All,All,MT,30
Montana,6969,All,25-34,All,All,MT,30
Montana,5636,All,35-44,All,All,MT,30
Montana,3912,All,45-54,All,All,MT,30
Montana,3983,All,55-64,All,All,MT,30
Montana,3202,All,65+,All,All,MT,30
Nebraska,9569,All,0-17,All,All,NE,31
Nebraska,13979,All,18-24,All,All,NE,31
Nebraska,9795,All,25-34,All,All,NE,31
Nebraska,6298,All,35-44,All,All,NE,31
Nebraska,4348,All,45-54,All,All,NE,31
Nebraska,2618,All,55-64,All,All,NE,31
Nebraska,3497,All,65+,All,All,NE,31
Nevada,20120,All,0-17,All,All,NV,32
Nevada,17209,All,18-24,All,All,NV,32
Nevada,25956,All,25-34,All,All,NV,32
Nevada,14839,All,35-44,All,All,NV,32
Nevada,8360,All,45-54,All,All,NV,32
Nevada,7163,All,55-64,All,All,NV,32
Nevada,13031,All,65+,All,All,NV,32
New Hampshire,7592,All,0-17,All,All,NH,33
New Hampshire,14862,All,18-24,All,All,NH,33
New Hampshire,11185,All,25-34,All,All,NH,33
New Hampshire,5002,All,35-44,All,All,NH,33
New Hampshire,2584,All,45-54,All,All,NH,33
New Hampshire,4088,All,55-64,All,All,NH,33
New Hampshire,5093,All,65+,All,All,NH,33
New Jersey,29686,All,0-17,All,All,NJ,34
New Jersey,63176,All,18-24,All,All,NJ,34
New Jersey,47330,All,25-34,All,All,NJ,34
New Jersey,27881,All,35-44,All,All,NJ,34
New Jersey,14592,All,45-54,All,All,NJ,34
New Jersey,15224,All,55-64,All,All,NJ,34
New Jersey,21829,All,65+,All,All,NJ,34
New Mexico,14097,All,0-17,All,All,NM,35
New Mexico,11316,All,18-24,All,All,NM,35
New Mexico,17155,All,25-34,All,All,NM,35
New Mexico,8079,All,35-44,All,All,NM,35
New Mexico,7203,All,45-54,All,All,NM,35
New Mexico,2479,All,55-64,All,All,NM,35
New Mexico,5879,All,65+,All,All,NM,35
New York,82703,All,0-17,All,All,NY,36
New York,101420,All,18-24,All,All,NY,36
New York,119610,All,25-34,All,All,NY,36
New York,68750,All,35-44,All,All,NY,36
New York,33381,All,45-54,All,All,NY,36
New York,37614,All,55-64,All,All,NY,36
New York,46063,All,65+,All,All,NY,36
North Carolina,39466,All,0-17,All,All,NC,37
North Carolina,57811,All,18-24,All,All,NC,37
North Carolina,54662,All,25-34,All,All,NC,37
North Carolina,29396,All,35-44,All,All,NC,37
North Carolina,21224,All,45-54,All,All,NC,37
North Carolina,14975,All,55-64,All,All,NC,37
North Carolina,15603,All,65+,All,All,NC,37
North Dakota,4087,All,0-17,All,All,ND,38
North Dakota,6296,All,18-24,All,All,ND,38
North Dakota,5749,All,25-34,All,All,ND,38
North Dakota,2152,All,35-44,All,All,ND,38
North Dakota,1565,All,45-54,All,All,ND,38
North Dakota,1651,All,55-64,All,All,ND,38
North Dakota,901,All,65+,All,All,ND,38
Ohio,25659,All,0-17,All,All,OH,39
Ohio,49778,All,18-24,All,All,OH,39
Ohio,50821,All,25-34,All,All,OH,39
Ohio,19553,All,35-44,All,All,OH,39
Ohio,13205,All,45-54,All,All,OH,39
Ohio,15873,All,55-64,All,All,OH,39
Ohio,14855,All,65+,All,All,OH,39
Oklahoma,17168,All,0-17,All,All,OK,40
Oklahoma,19674,All,18-24,All,All,OK,40
Oklahoma,24189,All,25-34,All,All,OK,40
Oklahoma,8004,All,35-44,All,All,OK,40
Oklahoma,6024,All,45-54,All,All,OK,40
Oklahoma,5442,All,55-64,All,All,OK,40
Oklahoma,5280,All,65+,All,All,OK,40
Oregon,20580,All,0-17,All,All,OR,41
Oregon,24893,All,18-24,All,All,OR,41
Oregon,31636,All,25-34,All,All,OR,41
Oregon,17062,All,35-44,All,All,OR,41
Oregon,10051,All,45-54,All,All,OR,41
Oregon,12490,All,55-64,All,All,OR,41
Oregon,14175,All,65+,All,All,OR,41
Pennsylvania,38740,All,0-17,All,All,PA,42
Pennsylvania,74904,All,18-24,All,All,PA,42
Pennsylvania,61645,All,25-34,All,All,PA,42
Pennsylvania,30734,All,35-44,All,All,PA,42
Pennsylvania,20526,All,45-54,All,All,PA,42
Pennsylvania,21128,All,55-64,All,All,PA,42
Pennsylvania,21988,All,65+,All,All,PA,42
Puerto Rico,6726,All,0-17,All,All,PR,72
Puerto Rico,8548,All,18-24,All,All,PR,72
Puerto Rico,10081,All,25-34,All,All,PR,72
Puerto Rico,6522,All,35-44,All,All,PR,72
Puerto Rico,4748,All,45-54,All,All,PR,72
Puerto Rico,2512,All,55-64,All,All,PR,72
Puerto Rico,5838,All,65+,All,All,PR,72
Rhode Island,4806,All,0-17,All,All,RI,44
Rhode Island,8397,All,18-24,All,All,RI,44
Rhode Island,9245,All,25-34,All,All,RI,44
Rhode Island,3756,All,35-44,All,All,RI,44
Rhode Island,2297,All,45-54,All,All,RI,44
Rhode Island,1951,All,55-64,All,All,RI,44
Rhode Island,2781,All,65+,All,All,RI,44
South Carolina,22412,All,0-17,All,All,SC,45
South Carolina,28794,All,18-24,All,All,SC,45
South Carolina,36878,All,25-34,All,All,SC,45
South Carolina,13948,All,35-44,All,All,SC,45
South Carolina,8148,All,45-54,All,All,SC,45
South Carolina,11070,All,55-64,All,All,SC,45
South Carolina,14096,All,65+,All,All,SC,45
South Dakota,5279,All,0-17,All,All,SD,46
South Dakota,6542,All,18-24,All,All,SD,46
South Dakota,5228,All,25-34,All,All,SD,46
South Dakota,3653,All,35-44,All,All,SD,46
South Dakota,999,All,45-54,All,All,SD,46
South Dakota,1846,All,55-64,All,All,SD,46
South Dakota,3471,All,65+,All,All,SD,46
Tennessee,33218,All,0-17,All,All,TN,47
Tennessee,33719,All,18-24,All,All,TN,47
Tennessee,40975,All,25-34,All,All,TN,47
Tennessee,27319,All,35-44,All,All,TN,47
Tennessee,14244,All,45-54,All,All,TN,47
Tennessee,15450,All,55-64,All,All,TN,47
Tennessee,16473,All,65+,All,All,TN,47
Texas,81181,All,0-17,All,All,TX,48
Texas,110764,All,18-24,All,All,TX,48
Texas,126124,All,25-34,All,All,TX,48
Texas,60599,All,35-44,All,All,TX,48
Texas,33783,All,45-54,All,All,TX,48
Texas,34170,All,55-64,All,All,TX,48
Texas,32333,All,65+,All,All,TX,48
Utah,18831,All,0-17,All,All,UT,49
Utah,21563,All,18-24,All,All,UT,49
Utah,27492,All,25-34,All,All,UT,49
Utah,13953,All,35-44,All,All,UT,49
Utah,6606,All,45-54,All,All,UT,49
Utah,4463,All,55-64,All,All,UT,49
Utah,4577,All,65+,All,All,UT,49
Vermont,1262,All,0-17,All,All,VT,50
Vermont,6682,All,18-24,All,All,VT,50
Vermont,4966,All,25-34,All,All,VT,50
Vermont,2127,All,35-44,All,All,VT,50
Vermont,1038,All,45-54,All,All,VT,50
Vermont,1733,All,55-64,All,All,VT,50
Vermont,1479,All,65+,All,All,VT,50
Virginia,45329,All,0-17,All,All,VA,51
Virginia,53500,All,18-24,All,All,VA,51
Virginia,67686,All,25-34,All,All,VA,51
Virginia,35896,All,35-44,All,All,VA,51
Virginia,20538,All,45-54,All,All,VA,51
Virginia,18479,All,55-64,All,All,VA,51
Virginia,16689,All,65+,All,All,VA,51
Washington,34033,All,0-17,All,All,WA,53
Washington,41960,All,18-24,All,All,WA,53
Washington,63781,All,25-34,All,All,WA,53
Washington,32121,All,35-44,All,All,WA,53
Washington,16854,All,45-54,All,All,WA,53
Washington,18727,All,55-64,All,All,WA,53
Washington,16459,All,65+,All,All,WA,53
West Virginia,6652,All,0-17,All,All,WV,54
West Virginia,8087,All,18-24,All,All,WV,54
West Virginia,7355,All,25-34,All,All,WV,54
West Virginia,5960,All,35-44,All,All,WV,54
West Virginia,4255,All,45-54,All,All,WV,54
West Virginia,3400,All,55-64,All,All,WV,54
West Virginia,6930,All,65+,All,All,WV,54
Wisconsin,12034,All,0-17,All,All,WI,55
Wisconsin,28582,All,18-24,All,All,WI,55
Wisconsin,22424,All,25-34,All,All,WI,55
Wisconsin,9990,All,35-44,All,All,WI,55
Wisconsin,6138,All,45-54,All,All,WI,55
Wisconsin,6420,All,55-64,All,All,WI,55
Wisconsin,10290,All,65+,All,All,WI,55
Wyoming,3555,All,0-17,All,All,WY,56
Wyoming,5935,All,18-24,All,All,WY,56
Wyoming,5557,All,25-34,All,All,WY,56
Wyoming,4111,All,35-44,All,All,WY,56
Wyoming,1521,All,45-54,All,All,WY,56
Wyoming,1102,All,55-64,All,All,WY,56
Wyoming,3139,All,65+,All,All,WY,56
Alabama,22680,All,All,Less than High School,All,AL,1
Alabama,17324,All,All,High School Grad,All,AL,1
Alabama,25395,All,All,Some College,All,AL,1
Alabama,21979,All,All,Bachelor's Degree,All,AL,1
Alabama,14492,All,All,Graduate Degree,All,AL,1
Alaska,8161,All,All,Less than High School,All,AK,2
Alaska,8528,All,All,High School Grad,All,AK,2
Alaska,11322,All,All,Some College,All,AK,2
Alaska,5833,All,All,Bachelor's Degree,All,AK,2
Alaska,2362,All,All,Graduate Degree,All,AK,2
Arizona,36255,All,All,Less than High School,All,AZ,4
Arizona,38261,All,All,High School Grad,All,AZ,4
Arizona,55766,All,All,Some College,All,AZ,4
Arizona,39519,All,All,Bachelor's Degree,All,AZ,4
Arizona,23956,All,All,Graduate Degree,All,AZ,4
Arkansas,13292,All,All,Less than High School,All,AR,5
Arkansas,13166,All,All,High School Grad,All,AR,5
Arkansas,14990,All,All,Some College,All,AR,5
Arkansas,17069,All,All,Bachelor's Degree,All,AR,5
Arkansas,6694,All,All,Graduate Degree,All,AR,5
California,127218,All,All,Less than High School,All,CA,6
California,122251,All,All,High School Grad,All,CA,6
California,179706,All,All,Some College,All,CA,6
California,157133,All,All,Bachelor's Degree,All,CA,6
California,96290,All,All,Graduate Degree,All,CA,6
Colorado,41483,All,All,Less than High School,All,CO,8
Colorado,38348,All,All,High School Grad,All,CO,8
Colorado,56410,All,All,Some College,All,CO,8
Colorado,46882,All,All,Bachelor's Degree,All,CO,8
Colorado,25929,All,All,Graduate Degree,All,CO,8
Connecticut,13937,All,All,Less than High School,All,CT,9
Connecticut,16621,All,All,High School Grad,All,CT,9
Connecticut,18797,All,All,Some College,All,CT,9
Connecticut,26500,All,All,Bachelor's Degree,All,CT,9
Connecticut,16988,All,All,Graduate Degree,All,CT,9
Delaware,3773,All,All,Less than High School,All,DE,10
Delaware,6369,All,All,High School Grad,All,DE,10
Delaware,7051,All,All,Some College,All,DE,10
Delaware,6685,All,All,Bachelor's Degree,All,DE,10
Delaware,5659,All,All,Graduate Degree,All,DE,10
District of Columbia,8800,All,All,Less than High School,All,DC,11
District of Columbia,6722,All,All,High School Grad,All,DC,11
District of Columbia,8564,All,All,Some College,All,DC,11
District of Columbia,22053,All,All,Bachelor's Degree,All,DC,11
District of Columbia,19895,All,All,Graduate Degree,All,DC,11
Florida,98012,All,All,Less than High School,All,FL,12
Florida,100118,All,All,High School Grad,All,FL,12
Florida,127120,All,All,Some College,All,FL,12
Florida,110800,All,All,Bachelor's Degree,All,FL,12
Florida,67711,All,All,Graduate Degree,All,FL,12
Georgia,56904,All,All,Less than High School,All,GA,13
Georgia,51000,All,All,High School Grad,All,GA,13
Georgia,55140,All,All,Some College,All,GA,13
Georgia,53919,All,All,Bachelor's Degree,All,GA,13
Georgia,33146,All,All,Graduate Degree,All,GA,13
Hawaii,12148,All,All,Less than High School,All,HI,15
Hawaii,11392,All,All,High School Grad,All,HI,15
Hawaii,15449,All,All,Some College,All,HI,15
Hawaii,10215,All,All,Bachelor's Degree,All,HI,15
Hawaii,7425,All,All,Graduate Degree,All,HI,15
Idaho,15650,All,All,Less than High School,All,ID,16
Idaho,12195,All,All,High School Grad,All,ID,16
Idaho,16976,All,All,Some College,All,ID,16
Idaho,14606,All,All,Bachelor's Degree,All,ID,16
Idaho,3800,All,All,Graduate Degree,All,ID,16
Illinois,44495,All,All,Less than High School,All,IL,17
Illinois,57272,All,All,High School Grad,All,IL,17
Illinois,82027,All,All,Some College,All,IL,17
Illinois,64518,All,All,Bachelor's Degree,All,IL,17
Illinois,47538,All,All,Graduate Degree,All,IL,17
Indiana,23566,All,All,Less than High School,All,IN,18
Indiana,19848,All,All,High School Grad,All,IN,18
Indiana,26639,All,All,Some College,All,IN,18
Indiana,31367,All,All,Bachelor's Degree,All,IN,18
Indiana,15148,All,All,Graduate Degree,All,IN,18
Iowa,13006,All,All,Less than High School,All,IA,19
