current_state,count,sex,age_group,education,marital_status,current_state_code,current_fips
Illinois,98704,Male,All,All,All,IL,17
Indiana,70804,Female,All,All,All,IN,18
Indiana,77861,Male,All,All,All,IN,18
Iowa,34084,Female,All,All,All,IA,19
Iowa,41415,Male,All,All,All,IA,19
Kansas,40102,Female,All,All,All,KS,20
Kansas,40663,Male,All,All,All,KS,20
Kentucky,50826,Female,All,All,All,KY,21
Kentucky,52703,Male,All,All,All,KY,21
Louisiana,31811,Female,All,All,All,LA,22
Louisiana,34663,Male,All,All,All,LA,22
Maine,18292,Female,All,All,All,ME,23
Maine,17872,Male,All,All,All,ME,23
Maryland,83481,Female,All,All,All,MD,24
Maryland,77517,Male,All,All,All,MD,24
Massachusetts,81294,Female,All,All,All,MA,25
Massachusetts,69663,Male,All,All,All,MA,25
Michigan,69340,Female,All,All,All,MI,26
Michigan,63279,Male,All,All,All,MI,26
Minnesota,47638,Female,All,All,All,MN,27
Minnesota,49428,Male,All,All,All,MN,27
Mississippi,33194,Female,All,All,All,MS,28
Mississippi,28693,Male,All,All,All,MS,28
Missouri,69705,Female,All,All,All,MO,29
Missouri,76430,Male,All,All,All,MO,29
Montana,18247,Female,All,All,All,MT,30
Montana,22034,Male,All,All,All,MT,30
Nebraska,24969,Female,All,All,All,NE,31
Nebraska,27437,Male,All,All,All,NE,31
Nevada,60672,Female,All,All,All,NV,32
Nevada,64999,Male,All,All,All,NV,32
New Hampshire,18590,Female,All,All,All,NH,33
New Hampshire,18155,Male,All,All,All,NH,33
New Jersey,77768,Female,All,All,All,NJ,34
New Jersey,75226,Male,All,All,All,NJ,34
New Mexico,33687,Female,All,All,All,NM,35
New Mexico,35618,Male,All,All,All,NM,35
New York,157760,Female,All,All,All,NY,36
New York,148608,Male,All,All,All,NY,36
North Carolina,167323,Female,All,All,All,NC,37
North Carolina,177096,Male,All,All,All,NC,37
North Dakota,10918,Female,All,All,All,ND,38
North Dakota,19925,Male,All,All,All,ND,38
Ohio,91243,Female,All,All,All,OH,39
Ohio,92230,Male,All,All,All,OH,39
Oklahoma,56247,Female,All,All,All,OK,40
Oklahoma,54970,Male,All,All,All,OK,40
Oregon,64130,Female,All,All,All,OR,41
Oregon,61908,Male,All,All,All,OR,41
Pennsylvania,120586,Female,All,All,All,PA,42
Pennsylvania,118459,Male,All,All,All,PA,42
Rhode Island,15300,Female,All,All,All,RI,44
Rhode Island,15598,Male,All,All,All,RI,44
South Carolina,106003,Female,All,All,All,SC,45
South Carolina,101934,Male,All,All,All,SC,45
South Dakota,12970,Female,All,All,All,SD,46
South Dakota,15438,Male,All,All,All,SD,46
Tennessee,102981,Female,All,All,All,TN,47
Tennessee,106497,Male,All,All,All,TN,47
Texas,296024,Female,All,All,All,TX,48
Texas,327434,Male,All,All,All,TX,48
Utah,39577,Female,All,All,All,UT,49
Utah,50320,Male,All,All,All,UT,49
Vermont,13506,Female,All,All,All,VT,50
Vermont,10438,Male,All,All,All,VT,50
Virginia,136851,Female,All,All,All,VA,51
Virginia,141446,Male,All,All,All,VA,51
Washington,104154,Female,All,All,All,WA,53
Washington,113317,Male,All,All,All,WA,53
West Virginia,18320,Female,All,All,All,WV,54
West Virginia,22109,Male,All,All,All,WV,54
Wisconsin,56700,Female,All,All,All,WI,55
Wisconsin,57632,Male,All,All,All,WI,55
Wyoming,10123,Female,All,All,All,WY,56
Wyoming,13544,Male,All,All,All,WY,56
Alabama,23518,All,0-17,All,All,AL,1
Alabama,34228,All,18-24,All,All,AL,1
Alabama,19915,All,25-34,All,All,AL,1
Alabama,14736,All,35-44,All,All,AL,1
Alabama,10479,All,45-54,All,All,AL,1
Alabama,8043,All,55-64,All,All,AL,1
Alabama,9388,All,65+,All,All,AL,1
Alaska,8959,All,0-17,All,All,AK,2
Alaska,6334,All,18-24,All,All,AK,2
Alaska,8782,All,25-34,All,All,AK,2
Alaska,5855,All,35-44,All,All,AK,2
Alaska,2876,All,45-54,All,All,AK,2
Alaska,2179,All,55-64,All,All,AK,2
Alaska,648,All,65+,All,All,AK,2
Arizona,35768,All,0-17,All,All,AZ,4
Arizona,50160,All,18-24,All,All,AZ,4
Arizona,52050,All,25-34,All,All,AZ,4
Arizona,26878,All,35-44,All,All,AZ,4
Arizona,23574,All,45-54,All,All,AZ,4
Arizona,23720,All,55-64,All,All,AZ,4
Arizona,38576,All,65+,All,All,AZ,4
Arkansas,14357,All,0-17,All,All,AR,5
Arkansas,17709,All,18-24,All,All,AR,5
Arkansas,15321,All,25-34,All,All,AR,5
Arkansas,7998,All,35-44,All,All,AR,5
Arkansas,6341,All,45-54,All,All,AR,5
Arkansas,7513,All,55-64,All,All,AR,5
Arkansas,6506,All,65+,All,All,AR,5
California,52404,All,0-17,All,All,CA,6
California,96573,All,18-24,All,All,CA,6
California,132608,All,25-34,All,All,CA,6
California,57410,All,35-44,All,All,CA,6
California,32804,All,45-54,All,All,CA,6
California,23482,All,55-64,All,All,CA,6
California,29913,All,65+,All,All,CA,6
Colorado,34938,All,0-17,All,All,CO,8
Colorado,53616,All,18-24,All,All,CO,8
Colorado,74855,All,25-34,All,All,CO,8
Colorado,30679,All,35-44,All,All,CO,8
Colorado,16552,All,45-54,All,All,CO,8
Colorado,14805,All,55-64,All,All,CO,8
Colorado,14664,All,65+,All,All,CO,8
Connecticut,13376,All,0-17,All,All,CT,9
Connecticut,18748,All,18-24,All,All,CT,9
Connecticut,26894,All,25-34,All,All,CT,9
Connecticut,12381,All,35-44,All,All,CT,9
Connecticut,5964,All,45-54,All,All,CT,9
Connecticut,6696,All,55-64,All,All,CT,9
Connecticut,8812,All,65+,All,All,CT,9
Delaware,6967,All,0-17,All,All,DE,10
Delaware,7046,All,18-24,All,All,DE,10
Delaware,5401,All,25-34,All,All,DE,10
Delaware,4623,All,35-44,All,All,DE,10
Delaware,3455,All,45-54,All,All,DE,10
Delaware,4749,All,55-64,All,All,DE,10
Delaware,6449,All,65+,All,All,DE,10
District of Columbia,4412,All,0-17,All,All,DC,11
District of Columbia,22945,All,18-24,All,All,DC,11
District of Columbia,19358,All,25-34,All,All,DC,11
District of Columbia,5046,All,35-44,All,All,DC,11
District of Columbia,1900,All,45-54,All,All,DC,11
District of Columbia,2112,All,55-64,All,All,DC,11
District of Columbia,2038,All,65+,All,All,DC,11
Florida,98246,All,0-17,All,All,FL,12
Florida,88985,All,18-24,All,All,FL,12
Florida,134968,All,25-34,All,All,FL,12
Florida,88536,All,35-44,All,All,FL,12
Florida,61861,All,45-54,All,All,FL,12
Florida,80889,All,55-64,All,All,FL,12
Florida,99779,All,65+,All,All,FL,12
Georgia,57465,All,0-17,All,All,GA,13
Georgia,61740,All,18-24,All,All,GA,13
Georgia,76154,All,25-34,All,All,GA,13
Georgia,42936,All,35-44,All,All,GA,13
Georgia,24337,All,45-54,All,All,GA,13
Georgia,26389,All,55-64,All,All,GA,13
Georgia,24360,All,65+,All,All,GA,13
Hawaii,9882,All,0-17,All,All,HI,15
Hawaii,14774,All,18-24,All,All,HI,15
Hawaii,16672,All,25-34,All,All,HI,15
Hawaii,8087,All,35-44,All,All,HI,15
Hawaii,3751,All,45-54,All,All,HI,15
Hawaii,4220,All,55-64,All,All,HI,15
Hawaii,4128,All,65+,All,All,HI,15
Idaho,17703,All,0-17,All,All,ID,16
Idaho,17990,All,18-24,All,All,ID,16
Idaho,17586,All,25-34,All,All,ID,16
Idaho,9825,All,35-44,All,All,ID,16
Idaho,3475,All,45-54,All,All,ID,16
Idaho,7086,All,55-64,All,All,ID,16
Idaho,9303,All,65+,All,All,ID,16
Illinois,27060,All,0-17,All,All,IL,17
Illinois,53832,All,18-24,All,All,IL,17
Illinois,57281,All,25-34,All,All,IL,17
Illinois,27383,All,35-44,All,All,IL,17
Illinois,12563,All,45-54,All,All,IL,17
Illinois,12527,All,55-64,All,All,IL,17
Illinois,15982,All,65+,All,All,IL,17
Indiana,26225,All,0-17,All,All,IN,18
Indiana,41393,All,18-24,All,All,IN,18
Indiana,29125,All,25-34,All,All,IN,18
Indiana,17983,All,35-44,All,All,IN,18
Indiana,10786,All,45-54,All,All,IN,18
Indiana,12159,All,55-64,All,All,IN,18
Indiana,10994,All,65+,All,All,IN,18
Iowa,9753,All,0-17,All,All,IA,19
Iowa,26257,All,18-24,All,All,IA,19
Iowa,12594,All,25-34,All,All,IA,19
Iowa,7886,All,35-44,All,All,IA,19
Iowa,7353,All,45-54,All,All,IA,19
Iowa,6199,All,55-64,All,All,IA,19
Iowa,5457,All,65+,All,All,IA,19
Kansas,14293,All,0-17,All,All,KS,20
Kansas,20692,All,18-24,All,All,KS,20
Kansas,17478,All,25-34,All,All,KS,20
Kansas,9290,All,35-44,All,All,KS,20
Kansas,8019,All,45-54,All,All,KS,20
Kansas,5448,All,55-64,All,All,KS,20
Kansas,5545,All,65+,All,All,KS,20
Kentucky,18344,All,0-17,All,All,KY,21
Kentucky,23146,All,18-24,All,All,KY,21
Kentucky,21075,All,25-34,All,All,KY,21
Kentucky,14605,All,35-44,All,All,KY,21
Kentucky,7986,All,45-54,All,All,KY,21
Kentucky,10534,All,55-64,All,All,KY,21
Kentucky,7839,All,65+,All,All,KY,21
Louisiana,10272,All,0-17,All,All,LA,22
Louisiana,12567,All,18-24,All,All,LA,22
Louisiana,17552,All,25-34,All,All,LA,22
Louisiana,11221,All,35-44,All,All,LA,22
Louisiana,3360,All,45-54,All,All,LA,22
Louisiana,5737,All,55-64,All,All,LA,22
Louisiana,5765,All,65+,All,All,LA,22
Maine,3833,All,0-17,All,All,ME,23
Maine,7945,All,18-24,All,All,ME,23
Maine,9112,All,25-34,All,All,ME,23
Maine,4633,All,35-44,All,All,ME,23
Maine,2543,All,45-54,All,All,ME,23
Maine,3374,All,55-64,All,All,ME,23
Maine,4724,All,65+,All,All,ME,23
Maryland,27511,All,0-17,All,All,MD,24
Maryland,31789,All,18-24,All,All,MD,24
Maryland,45011,All,25-34,All,All,MD,24
Maryland,21267,All,35-44,All,All,MD,24
Maryland,12924,All,45-54,All,All,MD,24
Maryland,9185,All,55-64,All,All,MD,24
Maryland,13311,All,65+,All,All,MD,24
Massachusetts,17454,All,0-17,All,All,MA,25
Massachusetts,52482,All,18-24,All,All,MA,25
Massachusetts,35872,All,25-34,All,All,MA,25
Massachusetts,18218,All,35-44,All,All,MA,25
Massachusetts,8479,All,45-54,All,All,MA,25
Massachusetts,7715,All,55-64,All,All,MA,25
Massachusetts,10737,All,65+,All,All,MA,25
Michigan,14940,All,0-17,All,All,MI,26
Michigan,33840,All,18-24,All,All,MI,26
Michigan,30202,All,25-34,All,All,MI,26
Michigan,16076,All,35-44,All,All,MI,26
Michigan,9134,All,45-54,All,All,MI,26
Michigan,10748,All,55-64,All,All,MI,26
Michigan,17679,All,65+,All,All,MI,26
Minnesota,13113,All,0-17,All,All,MN,27
Minnesota,29828,All,18-24,All,All,MN,27
Minnesota,26277,All,25-34,All,All,MN,27
Minnesota,8954,All,35-44,All,All,MN,27
Minnesota,3951,All,45-54,All,All,MN,27
Minnesota,7307,All,55-64,All,All,MN,27
Minnesota,7636,All,65+,All,All,MN,27
Mississippi,10772,All,0-17,All,All,MS,28
Mississippi,16154,All,18-24,All,All,MS,28
Mississippi,10772,All,25-34,All,All,MS,28
Mississippi,7465,All,35-44,All,All,MS,28
Mississippi,6676,All,45-54,All,All,MS,28
Mississippi,4925,All,55-64,All,All,MS,28
Mississippi,5123,All,65+,All,All,MS,28
Missouri,23537,All,0-17,All,All,MO,29
Missouri,32602,All,18-24,All,All,MO,29
Missouri,38154,All,25-34,All,All,MO,29
Missouri,17684,All,35-44,All,All,MO,29
Missouri,11827,All,45-54,All,All,MO,29
Missouri,9537,All,55-64,All,All,MO,29
Missouri,12794,All,65+,All,All,MO,29
Montana,6036,All,0-17,All,All,MT,30
Montana,9169,All,18-24,All,All,MT,30
Montana,7638,All,25-34,All,All,MT,30
Montana,5774,All,35-44,All,All,MT,30
Montana,3095,All,45-54,All,All,MT,30
Montana,3721,All,55-64,All,All,MT,30
Montana,4848,All,65+,All,All,MT,30
Nebraska,12225,All,0-17,All,All,NE,31
Nebraska,11535,All,18-24,All,All,NE,31
Nebraska,13729,All,25-34,All,All,NE,31
Nebraska,5831,All,35-44,All,All,NE,31
Nebraska,4086,All,45-54,All,All,NE,31
Nebraska,2670,All,55-64,All,All,NE,31
Nebraska,2330,All,65+,All,All,NE,31
Nevada,21323,All,0-17,All,All,NV,32
Nevada,17159,All,18-24,All,All,NV,32
Nevada,29591,All,25-34,All,All,NV,32
Nevada,18089,All,35-44,All,All,NV,32
Nevada,10857,All,45-54,All,All,NV,32
Nevada,12179,All,55-64,All,All,NV,32
Nevada,16473,All,65+,All,All,NV,32
New Hampshire,3157,All,0-17,All,All,NH,33
New Hampshire,8829,All,18-24,All,All,NH,33
New Hampshire,10788,All,25-34,All,All,NH,33
New Hampshire,5035,All,35-44,All,All,NH,33
New Hampshire,2132,All,45-54,All,All,NH,33
New Hampshire,3305,All,55-64,All,All,NH,33
New Hampshire,3499,All,65+,All,All,NH,33
New Jersey,22434,All,0-17,All,All,NJ,34
New Jersey,24499,All,18-24,All,All,NJ,34
New Jersey,50160,All,25-34,All,All,NJ,34
New Jersey,22373,All,35-44,All,All,NJ,34
New Jersey,10863,All,45-54,All,All,NJ,34
New Jersey,10367,All,55-64,All,All,NJ,34
New Jersey,12298,All,65+,All,All,NJ,34
New Mexico,13320,All,0-17,All,All,NM,35
New Mexico,10491,All,18-24,All,All,NM,35
New Mexico,12793,All,25-34,All,All,NM,35
New Mexico,11447,All,35-44,All,All,NM,35
New Mexico,7451,All,45-54,All,All,NM,35
New Mexico,7109,All,55-64,All,All,NM,35
New Mexico,6694,All,65+,All,All,NM,35
New York,30315,All,0-17,All,All,NY,36
New York,95554,All,18-24,All,All,NY,36
New York,92719,All,25-34,All,All,NY,36
New York,32820,All,35-44,All,All,NY,36
New York,20513,All,45-54,All,All,NY,36
New York,15600,All,55-64,All,All,NY,36
New York,18847,All,65+,All,All,NY,36
North Carolina,62405,All,0-17,All,All,NC,37
North Carolina,70411,All,18-24,All,All,NC,37
North Carolina,84016,All,25-34,All,All,NC,37
North Carolina,43928,All,35-44,All,All,NC,37
North Carolina,24401,All,45-54,All,All,NC,37
North Carolina,29273,All,55-64,All,All,NC,37
North Carolina,29985,All,65+,All,All,NC,37
North Dakota,3032,All,0-17,All,All,ND,38
North Dakota,16818,All,18-24,All,All,ND,38
North Dakota,5522,All,25-34,All,All,ND,38
North Dakota,2985,All,35-44,All,All,ND,38
North Dakota,507,All,45-54,All,All,ND,38
North Dakota,893,All,55-64,All,All,ND,38
North Dakota,1086,All,65+,All,All,ND,38
Ohio,28783,All,0-17,All,All,OH,39
Ohio,45002,All,18-24,All,All,OH,39
Ohio,42520,All,25-34,All,All,OH,39
Ohio,25566,All,35-44,All,All,OH,39
Ohio,12889,All,45-54,All,All,OH,39
Ohio,10402,All,55-64,All,All,OH,39
Ohio,18311,All,65+,All,All,OH,39
Oklahoma,21585,All,0-17,All,All,OK,40
Oklahoma,24288,All,18-24,All,All,OK,40
Oklahoma,22651,All,25-34,All,All,OK,40
Oklahoma,15282,All,35-44,All,All,OK,40
Oklahoma,8544,All,45-54,All,All,OK,40
Oklahoma,8648,All,55-64,All,All,OK,40
Oklahoma,10219,All,65+,All,All,OK,40
Oregon,14489,All,0-17,All,All,OR,41
Oregon,27314,All,18-24,All,All,OR,41
Oregon,29203,All,25-34,All,All,OR,41
Oregon,17637,All,35-44,All,All,OR,41
Oregon,10732,All,45-54,All,All,OR,41
Oregon,12999,All,55-64,All,All,OR,41
Oregon,13664,All,65+,All,All,OR,41
Pennsylvania,30772,All,0-17,All,All,PA,42
Pennsylvania,69137,All,18-24,All,All,PA,42
Pennsylvania,58640,All,25-34,All,All,PA,42
Pennsylvania,29361,All,35-44,All,All,PA,42
Pennsylvania,16656,All,45-54,All,All,PA,42
Pennsylvania,14742,All,55-64,All,All,PA,42
Pennsylvania,19737,All,65+,All,All,PA,42
Rhode Island,2409,All,0-17,All,All,RI,44
Rhode Island,9653,All,18-24,All,All,RI,44
Rhode Island,9273,All,25-34,All,All,RI,44
Rhode Island,2572,All,35-44,All,All,RI,44
Rhode Island,2111,All,45-54,All,All,RI,44
Rhode Island,1933,All,55-64,All,All,RI,44
Rhode Island,2947,All,65+,All,All,RI,44
South Carolina,32763,All,0-17,All,All,SC,45
South Carolina,53429,All,18-24,All,All,SC,45
South Carolina,37836,All,25-34,All,All,SC,45
South Carolina,24373,All,35-44,All,All,SC,45
South Carolina,14993,All,45-54,All,All,SC,45
South Carolina,20111,All,55-64,All,All,SC,45
South Carolina,24432,All,65+,All,All,SC,45
South Dakota,5448,All,0-17,All,All,SD,46
South Dakota,7147,All,18-24,All,All,SD,46
South Dakota,4726,All,25-34,All,All,SD,46
South Dakota,3438,All,35-44,All,All,SD,46
South Dakota,1708,All,45-54,All,All,SD,46
South Dakota,3292,All,55-64,All,All,SD,46
South Dakota,2649,All,65+,All,All,SD,46
Tennessee,35852,All,0-17,All,All,TN,47
Tennessee,43728,All,18-24,All,All,TN,47
Tennessee,44368,All,25-34,All,All,TN,47
Tennessee,26599,All,35-44,All,All,TN,47
Tennessee,20644,All,45-54,All,All,TN,47
Tennessee,21681,All,55-64,All,All,TN,47
Tennessee,16606,All,65+,All,All,TN,47
Texas,127848,All,0-17,All,All,TX,48
Texas,110186,All,18-24,All,All,TX,48
Texas,160017,All,25-34,All,All,TX,48
Texas,91267,All,35-44,All,All,TX,48
Texas,54196,All,45-54,All,All,TX,48
Texas,36695,All,55-64,All,All,TX,48
Texas,43249,All,65+,All,All,TX,48
Utah,14314,All,0-17,All,All,UT,49
Utah,29941,All,18-24,All,All,UT,49
Utah,22850,All,25-34,All,All,UT,49
Utah,8796,All,35-44,All,All,UT,49
Utah,5136,All,45-54,All,All,UT,49
Utah,4332,All,55-64,All,All,UT,49
Utah,4528,All,65+,All,All,UT,49
Vermont,1842,All,0-17,All,All,VT,50
Vermont,8885,All,18-24,All,All,VT,50
Vermont,5236,All,25-34,All,All,VT,50
Vermont,2093,All,35-44,All,All,VT,50
Vermont,2229,All,45-54,All,All,VT,50
Vermont,1387,All,55-64,All,All,VT,50
Vermont,2272,All,65+,All,All,VT,50
Virginia,46741,All,0-17,All,All,VA,51
Virginia,64269,All,18-24,All,All,VA,51
Virginia,70384,All,25-34,All,All,VA,51
Virginia,37140,All,35-44,All,All,VA,51
Virginia,24206,All,45-54,All,All,VA,51
Virginia,14826,All,55-64,All,All,VA,51
Virginia,20731,All,65+,All,All,VA,51
Washington,30080,All,0-17,All,All,WA,53
Washington,45944,All,18-24,All,All,WA,53
Washington,65972,All,25-34,All,All,WA,53
Washington,30534,All,35-44,All,All,WA,53
Washington,15605,All,45-54,All,All,WA,53
Washington,15484,All,55-64,All,All,WA,53
Washington,13852,All,65+,All,All,WA,53
West Virginia,3702,All,0-17,All,All,WV,54
West Virginia,11825,All,18-24,All,All,WV,54
West Virginia,8330,All,25-34,All,All,WV,54
West Virginia,3041,All,35-44,All,All,WV,54
West Virginia,4555,All,45-54,All,All,WV,54
West Virginia,5241,All,55-64,All,All,WV,54
West Virginia,3735,All,65+,All,All,WV,54
Wisconsin,11633,All,0-17,All,All,WI,55
Wisconsin,38235,All,18-24,All,All,WI,55
Wisconsin,28570,All,25-34,All,All,WI,55
Wisconsin,10465,All,35-44,All,All,WI,55
Wisconsin,6543,All,45-54,All,All,WI,55
Wisconsin,9012,All,55-64,All,All,WI,55
Wisconsin,9874,All,65+,All,All,WI,55
Wyoming,2847,All,0-17,All,All,WY,56
Wyoming,5654,All,18-24,All,All,WY,56
Wyoming,6047,All,25-34,All,All,WY,56
Wyoming,2339,All,35-44,All,All,WY,56
Wyoming,2453,All,45-54,All,All,WY,56
Wyoming,2022,All,55-64,All,All,WY,56
Wyoming,2305,All,65+,All,All,WY,56
Alabama,28794,All,All,Less than High School,All,AL,1
Alabama,25588,All,All,High School Grad,All,AL,1
Alabama,35102,All,All,Some College,All,AL,1
Alabama,19501,All,All,Bachelor's Degree,All,AL,1
Alabama,11322,All,All,Graduate Degree,All,AL,1
Alaska,9682,All,All,Less than High School,All,AK,2
Alaska,6058,All,All,High School Grad,All,AK,2
Alaska,7912,All,All,Some College,All,AK,2
Alaska,7495,All,All,Bachelor's Degree,All,AK,2
Alaska,4486,All,All,Graduate Degree,All,AK,2
Arizona,47060,All,All,Less than High School,All,AZ,4
Arizona,48218,All,All,High School Grad,All,AZ,4
Arizona,74854,All,All,Some College,All,AZ,4
Arizona,49873,All,All,Bachelor's Degree,All,AZ,4
Arizona,30721,All,All,Graduate Degree,All,AZ,4
Arkansas,16956,All,All,Less than High School,All,AR,5
Arkansas,17331,All,All,High School Grad,All,AR,5
Arkansas,23036,All,All,Some College,All,AR,5
Arkansas,12530,All,All,Bachelor's Degree,All,AR,5
Arkansas,5892,All,All,Graduate Degree,All,AR,5
California,65605,All,All,Less than High School,All,CA,6
California,65614,All,All,High School Grad,All,CA,6
California,86076,All,All,Some College,All,CA,6
California,128846,All,All,Bachelor's Degree,All,CA,6
California,79053,All,All,Graduate Degree,All,CA,6
Colorado,39299,All,All,Less than High School,All,CO,8
Colorado,32914,All,All,High School Grad,All,CO,8
Colorado,63698,All,All,Some College,All,CO,8
Colorado,67104,All,All,Bachelor's Degree,All,CO,8
Colorado,37094,All,All,Graduate Degree,All,CO,8
Connecticut,16350,All,All,Less than High School,All,CT,9
Connecticut,16013,All,All,High School Grad,All,CT,9
Connecticut,20054,All,All,Some College,All,CT,9
Connecticut,21062,All,All,Bachelor's Degree,All,CT,9
Connecticut,19392,All,All,Graduate Degree,All,CT,9
Delaware,8843,All,All,Less than High School,All,DE,10
Delaware,9007,All,All,High School Grad,All,DE,10
Delaware,8380,All,All,Some College,All,DE,10
Delaware,6949,All,All,Bachelor's Degree,All,DE,10
Delaware,5511,All,All,Graduate Degree,All,DE,10
District of Columbia,4998,All,All,Less than High School,All,DC,11
District of Columbia,5925,All,All,High School Grad,All,DC,11
District of Columbia,14002,All,All,Some College,All,DC,11
District of Columbia,17845,All,All,Bachelor's Degree,All,DC,11
District of Columbia,15041,All,All,Graduate Degree,All,DC,11
Florida,122232,All,All,Less than High School,All,FL,12
Florida,125370,All,All,High School Grad,All,FL,12
Florida,161792,All,All,Some College,All,FL,12
Florida,153482,All,All,Bachelor's Degree,All,FL,12
Florida,90388,All,All,Graduate Degree,All,FL,12
Georgia,71139,All,All,Less than High School,All,GA,13
Georgia,61165,All,All,High School Grad,All,GA,13
Georgia,76855,All,All,Some College,All,GA,13
Georgia,64479,All,All,Bachelor's Degree,All,GA,13
Georgia,39743,All,All,Graduate Degree,All,GA,13
Hawaii,10738,All,All,Less than High School,All,HI,15
Hawaii,11740,All,All,High School Grad,All,HI,15
Hawaii,17415,All,All,Some College,All,HI,15
Hawaii,13369,All,All,Bachelor's Degree,All,HI,15
Hawaii,8252,All,All,Graduate Degree,All,HI,15
Idaho,19738,All,All,Less than High School,All,ID,16
Idaho,19789,All,All,High School Grad,All,ID,16
Idaho,24491,All,All,Some College,All,ID,16
Idaho,13587,All,All,Bachelor's Degree,All,ID,16
Idaho,5363,All,All,Graduate Degree,All,ID,16
Illinois,36017,All,All,Less than High School,All,IL,17
Illinois,35139,All,All,High School Grad,All,IL,17
Illinois,46555,All,All,Some College,All,IL,17
Illinois,56772,All,All,Bachelor's Degree,All,IL,17
Illinois,32145,All,All,Graduate Degree,All,IL,17
Indiana,33018,All,All,Less than High School,All,IN,18
Indiana,37201,All,All,High School Grad,All,IN,18
Indiana,33862,All,All,Some College,All,IN,18
Indiana,28287,All,All,Bachelor's Degree,All,IN,18
Indiana,16297,All,All,Graduate Degree,All,IN,18
Iowa,12787,All,All,Less than High School,All,IA,19
Iowa,19878,All,All,High School Grad,All,IA,19
Iowa,22736,All,All,Some College,All,IA,19
Iowa,14801,All,All,Bachelor's Degree,All,IA,19
Iowa,5297,All,All,Graduate Degree,All,IA,19
Kansas,21346,All,All,Less than High School,All,KS,20
Kansas,14941,All,All,High School Grad,All,KS,20
Kansas,22300,All,All,Some College,All,KS,20
Kansas,14516,All,All,Bachelor's Degree,All,KS,20
Kansas,7662,All,All,Graduate Degree,All,KS,20
Kentucky,24476,All,All,Less than High School,All,KY,21
